266,(91-67)*15+15,266,(89-67)*15+15,266,(78-67)*15+15,266,(71-67)*15+15,133,(45-34)*15+15,133,(44-34)*15+15,266,(98-67)*15+15,133,(47-34)*15+15,266,(99-67)*15+15,0,9*15+15,133,(57-34)*15+15,266,(67-67)*15+15,133,(52-34)*15+15,133,(43-34)*15+15,266,(88-67)*15+15,266,(70-67)*15+15,133,(50-34)*15+15,0,11*15+15,0,30*15+15,266,(86-67)*15+15,133,(53-34)*15+15,266,(84-67)*15+15,133,(65-34)*15+15,133,(36-34)*15+15,133,(58-34)*15+15,266,(81-67)*15+15,0,20*15+15,0,27*15+15,266,(90-67)*15+15,0,14*15+15,266,(80-67)*15+15,133,(46-34)*15+15,0,2*15+15,0,25*15+15,266,(97-67)*15+15,0,7*15+15,133,(49-34)*15+15,133,(40-34)*15+15,266,(87-67)*15+15,266,(74-67)*15+15,0,22*15+15,0,10*15+15,0,33*15+15,266,(92-67)*15+15,0,6*15+15,266,(79-67)*15+15,133,(66-34)*15+15,133,(34-34)*15+15,133,(38-34)*15+15,133,(42-34)*15+15,133,(41-34)*15+15,133,(61-34)*15+15,133,(59-34)*15+15,0,17*15+15,0,4*15+15,0,29*15+15,133,(37-34)*15+15,0,15*15+15,0,12*15+15,133,(63-34)*15+15,0,24*15+15,0,0*15+15,133,(35-34)*15+15,133,(55-34)*15+15,133,(54-34)*15+15,0,1*15+15,0,5*15+15,0,28*15+15,266,(83-67)*15+15,133,(60-34)*15+15,266,(93-67)*15+15,0,13*15+15,0,8*15+15,266,(73-67)*15+15,266,(82-67)*15+15,0,31*15+15,266,(96-67)*15+15,0,19*15+15,266,(72-67)*15+15,133,(62-34)*15+15,0,23*15+15,266,(95-67)*15+15,266,(77-67)*15+15,0,3*15+15,133,(56-34)*15+15,266,(69-67)*15+15,0,26*15+15,133,(64-34)*15+15,266,(76-67)*15+15,0,18*15+15,0,32*15+15,133,(48-34)*15+15,0,16*15+15,133,(51-34)*15+15,266,(75-67)*15+15,133,(39-34)*15+15,266,(94-67)*15+15,0,21*15+15,266,(68-67)*15+15,266,(85-67)*15+15,1466100669
266,375,266,345,266,180,266,75,133,180,133,165,266,480,133,210,266,495,0,150,133,360,266,15,133,285,133,150,266,330,266,60,133,255,0,180,0,465,266,300,133,300,266,270,133,480,133,45,133,375,266,225,0,315,0,420,266,360,0,225,266,210,133,195,0,45,0,390,266,465,0,120,133,240,133,105,266,315,266,120,0,345,0,165,0,510,266,390,0,105,266,195,929,566,932,584,133,75,133,135,133,120,133,420,133,390,0,270,0,75,0,450,133,60,0,240,873,549,133,450,0,375,0,15,133,30,133,330,133,315,0,30,0,90,0,435,266,255,133,405,266,405,0,210,0,135,266,105,266,240,0,480,874,529,0,300,873,586,932,529,0,360,867,567,266,165,932,547,133,345,266,45,0,405,133,465,266,150,0,285,0,495,133,225,0,255,133,270,266,135,133,90,266,420,0,330,266,30,266,285,1466100834
266,375,266,345,266,180,266,75,133,180,133,165,266,480,133,210,266,495,0,150,133,360,266,15,133,285,133,150,266,330,266,60,133,255,0,180,0,465,266,300,133,300,266,270,133,480,133,45,133,375,266,225,0,315,0,420,266,360,0,225,266,210,133,195,0,45,0,390,266,465,0,120,133,240,133,105,266,315,266,120,0,345,0,165,0,510,266,390,0,105,803,531,929,566,932,584,133,75,133,135,133,120,133,420,133,390,0,270,0,75,0,450,133,60,0,240,873,549,133,450,0,375,0,15,133,30,133,330,133,315,0,30,0,90,0,435,266,255,133,405,266,405,0,210,0,135,266,105,266,240,0,480,874,529,0,300,873,586,932,529,0,360,867,567,266,165,932,547,133,345,266,45,0,405,133,465,266,150,0,285,0,495,133,225,0,255,133,270,266,135,133,90,266,420,0,330,266,30,266,285,1466100849
266,375,266,345,266,180,266,75,133,180,133,165,266,480,133,210,266,495,0,150,133,360,266,15,133,285,133,150,266,330,266,60,133,255,0,180,0,465,266,300,133,300,266,270,133,480,133,45,133,375,266,225,0,315,0,420,266,360,0,225,266,210,133,195,0,45,0,390,266,465,0,120,133,240,133,105,266,315,266,120,0,345,0,165,0,510,266,390,0,105,803,531,929,566,932,584,133,75,133,135,133,120,133,420,133,390,0,270,0,75,0,450,133,60,785,603,873,549,133,450,0,375,0,15,133,30,133,330,133,315,0,30,0,90,0,435,266,255,133,405,266,405,0,210,0,135,266,105,266,240,0,480,874,529,0,300,873,586,932,529,0,360,867,567,266,165,932,547,133,345,266,45,0,405,133,465,266,150,0,285,0,495,133,225,3,256,133,270,266,135,133,90,266,420,0,330,266,30,266,285,1466100864
266,375,266,345,266,180,266,75,133,180,133,165,266,480,133,210,266,495,0,150,133,360,266,15,133,285,133,150,266,330,266,60,133,255,0,180,0,465,266,300,133,300,266,270,133,480,133,45,133,375,266,225,0,315,0,420,266,360,0,225,266,210,133,195,0,45,0,390,266,465,0,120,133,240,133,105,266,315,266,120,0,345,0,165,0,510,266,390,0,105,803,531,929,566,932,584,133,75,133,135,133,120,133,420,133,390,823,567,0,75,0,450,133,60,826,586,873,549,133,450,0,375,0,15,133,30,133,330,133,315,0,30,0,90,0,435,266,255,133,405,266,405,0,210,0,135,266,105,266,240,0,480,874,529,0,300,873,586,932,529,0,360,867,567,266,165,932,547,133,345,266,45,0,405,133,465,266,150,0,285,0,495,133,225,3,256,133,270,266,135,133,90,266,420,0,330,266,30,266,285,1466100879
266,375,266,345,266,180,266,75,133,180,133,165,266,480,133,210,266,495,0,150,133,360,266,15,133,285,133,150,266,330,266,60,133,255,0,180,0,465,266,300,133,300,266,270,133,480,133,45,133,375,266,225,0,315,0,420,266,360,0,225,266,210,133,195,0,45,0,390,266,465,0,120,133,240,133,105,266,315,266,120,0,345,0,165,0,510,266,390,0,105,803,531,929,566,932,584,133,75,133,135,133,120,133,420,133,390,823,567,0,75,0,450,133,60,826,586,873,549,133,450,0,375,0,15,133,30,133,330,133,315,0,30,0,90,0,435,266,255,133,405,266,405,0,210,0,135,266,105,266,240,0,480,874,529,0,300,873,586,932,529,0,360,867,567,907,499,932,547,133,345,266,45,0,405,133,465,266,150,0,285,0,495,133,225,3,256,133,270,266,135,133,90,266,420,0,330,266,30,266,285,1466100894
266,375,266,345,266,180,266,75,133,180,133,165,266,480,133,210,266,495,0,150,133,360,266,15,133,285,133,150,266,330,266,60,133,255,0,180,0,465,266,300,133,300,266,270,133,480,133,45,133,375,266,225,0,315,0,420,266,360,0,225,266,210,133,195,0,45,0,390,266,465,0,120,133,240,133,105,266,315,266,120,0,345,0,165,0,510,266,390,0,105,803,531,929,566,932,584,133,75,133,135,133,120,133,420,133,390,823,567,0,75,0,450,133,60,826,586,873,549,133,450,0,375,0,15,133,30,133,330,133,315,0,30,0,90,0,435,266,255,133,405,266,405,0,210,0,135,266,105,266,240,0,480,874,529,0,300,873,586,932,529,0,360,867,567,913,509,932,547,133,345,934,494,0,405,133,465,266,150,0,285,0,495,133,225,3,256,133,270,266,135,133,90,266,420,0,330,266,30,266,285,1466100909
266,375,266,345,266,180,266,75,133,180,133,165,266,480,133,210,266,495,0,150,133,360,266,15,133,285,133,150,266,330,266,60,133,255,0,180,0,465,266,300,133,300,266,270,133,480,133,45,133,375,266,225,0,315,0,420,266,360,0,225,266,210,133,195,0,45,0,390,266,465,0,120,133,240,133,105,266,315,266,120,0,345,0,165,0,510,266,390,0,105,803,531,929,566,932,584,133,75,133,135,133,120,133,420,133,390,823,567,0,75,0,450,133,60,826,586,873,549,133,450,0,375,0,15,133,30,133,330,133,315,0,30,0,90,0,435,266,255,133,405,266,405,0,210,0,135,266,105,266,240,0,480,874,529,0,300,873,586,932,529,0,360,867,567,913,509,932,547,133,345,934,494,0,405,133,465,266,150,0,285,0,495,133,225,3,256,133,270,266,135,133,90,266,420,0,330,266,30,266,285,1466100924
266,375,266,345,266,180,266,75,133,180,133,165,266,480,133,210,266,495,0,150,133,360,266,15,133,285,133,150,266,330,266,60,133,255,0,180,0,465,266,300,133,300,266,270,133,480,133,45,133,375,266,225,0,315,0,420,266,360,0,225,266,210,133,195,0,45,0,390,266,465,0,120,133,240,133,105,266,315,266,120,0,345,0,165,0,510,266,390,0,105,803,531,929,566,932,584,133,75,133,135,133,120,133,420,133,390,823,567,0,75,0,450,133,60,826,586,873,549,133,450,0,375,0,15,133,30,133,330,133,315,0,30,0,90,0,435,266,255,133,405,266,405,0,210,411,19,266,105,266,240,0,480,874,529,0,300,873,586,932,529,0,360,867,567,913,509,932,547,133,345,934,494,0,405,133,465,266,150,0,285,0,495,133,225,3,256,133,270,266,135,133,90,266,420,0,330,266,30,266,285,1466100939
266,375,266,345,266,180,266,75,133,180,133,165,266,480,133,210,266,495,0,150,133,360,266,15,133,285,133,150,266,330,266,60,133,255,0,180,0,465,266,300,133,300,266,270,133,480,133,45,133,375,266,225,0,315,0,420,266,360,0,225,266,210,133,195,0,45,0,390,266,465,0,120,133,240,133,105,266,315,266,120,0,345,0,165,0,510,266,390,0,105,803,531,929,566,932,584,133,75,133,135,133,120,133,420,133,390,823,567,0,75,0,450,133,60,826,586,873,549,133,450,0,375,0,15,133,30,133,330,133,315,0,30,0,90,0,435,266,255,411,38,266,405,0,210,411,19,266,105,266,240,0,480,874,529,0,300,873,586,932,529,0,360,867,567,913,509,932,547,133,345,934,494,0,405,133,465,266,150,0,285,0,495,133,225,3,256,133,270,266,135,133,90,266,420,0,330,266,30,266,285,1466100954
266,375,266,345,266,180,266,75,133,180,133,165,266,480,133,210,266,495,0,150,133,360,266,15,133,285,133,150,266,330,266,60,133,255,0,180,0,465,266,300,133,300,266,270,133,480,133,45,133,375,266,225,0,315,0,420,266,360,0,225,266,210,133,195,0,45,0,390,266,465,0,120,133,240,133,105,266,315,266,120,0,345,0,165,0,510,266,390,0,105,803,531,929,566,932,584,133,75,133,135,133,120,133,420,133,390,823,567,0,75,0,450,133,60,826,586,873,549,133,450,0,375,0,15,133,30,133,330,133,315,0,30,0,90,0,435,266,255,411,38,483,24,0,210,411,19,266,105,266,240,0,480,874,529,0,300,873,586,932,529,0,360,867,567,913,509,932,547,133,345,934,494,0,405,133,465,266,150,0,285,0,495,133,225,3,256,133,270,266,135,133,90,277,421,0,330,266,30,266,285,1466100969
266,375,266,345,266,180,266,75,133,180,133,165,266,480,133,210,266,495,0,150,133,360,266,15,133,285,133,150,266,330,266,60,133,255,0,180,0,465,266,300,133,300,266,270,133,480,133,45,133,375,266,225,0,315,0,420,266,360,0,225,266,210,133,195,0,45,0,390,266,465,0,120,133,240,133,105,266,315,266,120,0,345,0,165,0,510,266,390,0,105,803,531,929,566,932,584,133,75,133,135,133,120,133,420,133,390,823,567,0,75,0,450,133,60,826,586,873,549,133,450,0,375,0,15,133,30,133,330,133,315,0,30,0,90,0,435,266,255,411,38,477,19,0,210,411,19,484,40,266,240,0,480,874,529,0,300,873,586,932,529,0,360,867,567,913,509,932,547,133,345,934,494,0,405,133,465,266,150,0,285,0,495,133,225,3,256,133,270,266,135,133,90,277,421,0,330,266,30,266,285,1466100984
266,375,266,345,266,180,266,75,133,180,133,165,266,480,133,210,266,495,0,150,133,360,266,15,133,285,133,150,266,330,266,60,133,255,0,180,0,465,266,300,133,300,266,270,133,480,133,45,133,375,266,225,0,315,0,420,266,360,0,225,266,210,133,195,0,45,0,390,266,465,0,120,133,240,133,105,266,315,266,120,0,345,0,165,0,510,266,390,0,105,803,531,929,566,932,584,133,75,133,135,133,120,133,420,133,390,823,567,0,75,0,450,133,60,826,586,873,549,133,450,0,375,0,15,133,30,133,330,133,315,0,30,0,90,0,435,266,255,411,38,477,19,0,210,411,19,484,40,266,240,407,58,874,529,0,300,873,586,932,529,0,360,867,567,913,509,932,547,414,189,934,494,0,405,133,465,266,150,0,285,0,495,133,225,3,256,133,270,266,135,133,90,277,421,0,330,266,30,266,285,1466100999
266,375,266,345,266,180,266,75,133,180,133,165,266,480,133,210,266,495,0,150,133,360,266,15,133,285,133,150,266,330,266,60,133,255,0,180,0,465,266,300,133,300,266,270,133,480,133,45,133,375,266,225,0,315,0,420,266,360,0,225,266,210,133,195,0,45,0,390,266,465,0,120,133,240,133,105,266,315,266,120,0,345,0,165,0,510,266,390,0,105,803,531,929,566,932,584,133,75,133,135,133,120,133,420,133,390,823,567,0,75,0,450,133,60,826,586,873,549,133,450,0,375,0,15,133,30,522,60,133,315,0,30,0,90,0,435,266,255,411,38,477,19,0,210,411,19,484,40,266,240,407,58,874,529,0,300,873,586,932,529,0,360,867,567,913,509,932,547,135,406,934,494,0,405,133,465,266,150,0,285,0,495,133,225,3,256,133,270,266,135,133,90,277,421,0,330,266,30,266,285,1466101014
266,375,266,345,266,180,266,75,133,180,133,165,266,480,133,210,266,495,0,150,133,360,266,15,133,285,133,150,266,330,266,60,133,255,0,180,0,465,266,300,133,300,266,270,133,480,133,45,133,375,266,225,0,315,0,420,266,360,0,225,266,210,133,195,0,45,0,390,266,465,0,120,133,240,133,105,266,315,266,120,0,345,0,165,0,510,266,390,0,105,803,531,929,566,932,584,133,75,133,135,133,120,133,420,133,390,823,567,0,75,0,450,133,60,826,586,873,549,133,450,0,375,0,15,408,41,522,60,133,315,0,30,0,90,0,435,266,255,410,58,477,19,0,210,411,19,484,40,266,240,409,82,874,529,0,300,873,586,932,529,0,360,867,567,913,509,932,547,135,406,934,494,0,405,133,465,266,150,0,285,0,495,133,225,3,256,133,270,266,135,133,90,277,421,0,330,266,30,266,285,1466101029
266,375,266,345,266,180,266,75,133,180,133,165,266,480,133,210,266,495,0,150,133,360,266,15,133,285,133,150,266,330,266,60,133,255,0,180,0,465,266,300,133,300,266,270,133,480,133,45,133,375,266,225,0,315,0,420,266,360,0,225,266,210,133,195,0,45,0,390,266,465,0,120,133,240,133,105,266,315,266,120,0,345,0,165,0,510,266,390,0,105,803,531,929,566,932,584,133,75,133,135,133,120,133,420,133,390,823,567,0,75,0,450,133,60,826,586,873,549,133,450,0,375,0,15,408,41,522,79,133,315,0,30,0,90,0,435,266,255,410,58,480,38,476,19,411,19,487,59,266,240,409,82,874,529,0,300,873,586,932,529,0,360,867,567,913,509,932,547,135,406,934,494,0,405,133,465,266,150,0,285,0,495,133,225,3,256,133,270,266,135,133,90,277,421,0,330,266,30,266,285,1466101044
266,375,266,345,266,180,266,75,133,180,133,165,266,480,133,210,266,495,0,150,133,360,266,15,133,285,133,150,266,330,266,60,133,255,0,180,0,465,266,300,133,300,266,270,133,480,133,45,133,375,266,225,0,315,0,420,266,360,0,225,266,210,133,195,0,45,0,390,266,465,0,120,133,240,133,105,266,315,266,120,0,345,0,165,0,510,266,390,0,105,803,531,929,566,932,584,133,75,133,135,133,120,133,420,133,390,823,567,0,75,0,450,133,60,826,586,873,549,133,450,0,375,0,15,408,41,522,79,413,101,0,30,0,90,0,435,266,255,410,58,480,38,476,19,411,19,487,59,266,240,409,82,874,529,0,300,873,586,932,529,0,360,867,567,913,509,932,547,135,406,934,494,0,405,133,465,266,150,0,285,0,495,133,225,3,256,133,270,266,135,133,90,277,421,0,330,266,30,266,285,1466101059
266,375,266,345,266,180,266,75,133,180,133,165,266,480,133,210,266,495,0,150,133,360,266,15,133,285,133,150,266,330,266,60,133,255,0,180,0,465,266,300,133,300,266,270,133,480,133,45,133,375,266,225,0,315,0,420,266,360,0,225,266,210,133,195,0,45,0,390,266,465,0,120,133,240,133,105,266,315,266,120,0,345,0,165,0,510,266,390,0,105,803,531,929,566,932,584,133,75,133,135,133,120,133,420,133,390,823,567,0,75,0,450,133,60,826,586,873,549,133,450,0,375,0,15,408,41,522,79,413,101,0,30,0,90,0,435,266,255,410,58,480,38,476,19,411,19,487,59,266,240,409,82,874,529,0,300,873,586,932,529,0,360,867,567,913,509,932,547,135,406,934,494,0,405,133,465,266,150,0,285,0,495,133,225,3,256,133,270,266,135,133,90,277,421,0,330,266,30,266,285,1466101074
266,375,266,345,266,180,266,75,133,180,133,165,266,480,133,210,266,495,0,150,133,360,266,15,133,285,133,150,266,330,266,60,133,255,0,180,0,465,266,300,133,300,266,270,133,480,133,45,133,375,266,225,0,315,0,420,266,360,0,225,266,210,133,195,0,45,0,390,266,465,0,120,133,240,133,105,266,315,266,120,0,345,0,165,0,510,266,390,0,105,803,531,929,566,932,584,133,75,133,135,133,120,133,420,133,390,823,567,0,75,0,450,133,60,826,586,873,549,133,450,0,375,0,15,408,41,522,79,413,101,0,30,0,90,0,435,266,255,410,58,480,38,476,19,411,19,487,59,266,240,409,82,874,529,0,300,873,586,932,529,0,360,867,567,913,509,932,547,135,406,934,494,0,405,133,465,266,150,0,285,0,495,133,225,3,256,133,270,266,135,133,90,277,421,0,330,266,30,266,285,1466101089
266,375,266,345,266,180,266,75,133,180,133,165,266,480,133,210,266,495,0,150,133,360,266,15,133,285,133,150,266,330,266,60,133,255,0,180,0,465,266,300,133,300,266,270,133,480,133,45,133,375,266,225,0,315,0,420,266,360,0,225,266,210,133,195,0,45,0,390,266,465,0,120,133,240,133,105,266,315,266,120,0,345,0,165,0,510,266,390,0,105,803,531,929,566,932,584,133,75,133,135,133,120,133,420,133,390,823,567,0,75,0,450,133,60,826,586,873,549,133,450,0,375,0,15,408,41,522,79,513,99,0,30,0,90,0,435,266,255,410,58,480,38,476,19,411,19,487,59,330,167,402,98,874,529,0,300,873,586,932,529,0,360,867,567,913,509,932,547,135,406,934,494,0,405,133,465,266,150,0,285,0,495,133,225,3,256,133,270,266,135,133,90,277,421,0,330,266,30,266,285,1466101104
